sample_index,datetime,source,cluster_id,is_noise
275,2022-05-07T05:20:21.690094+00:00,FILE,11,False
276,2023-12-26T00:24:38.429373+00:00,EVT,48,False
277,2023-11-16T01:36:02.145486+00:00,FILE,11,False
278,2023-11-15T19:12:58.504004+00:00,FILE,11,False
279,2019-03-12T23:00:52.000000+00:00,FILE,1,False
280,2023-11-15T18:56:23.468005+00:00,FILE,1,False
281,2023-11-15T18:56:53.943863+00:00,FILE,68,False
282,2022-05-07T05:28:03.574632+00:00,REG,16,False
283,2023-11-16T01:42:13.969233+00:00,FILE,11,False
284,2022-09-25T02:32:56.855032+00:00,FILE,11,False
285,2023-11-15T18:50:42.382511+00:00,FILE,20,False
286,2023-11-15T18:40:22.202807+00:00,FILE,80,False
287,2023-11-14T20:37:05.931814+00:00,REG,83,False
288,2023-11-15T18:45:45.113100+00:00,FILE,51,False
289,2022-05-07T05:28:03.887074+00:00,REG,16,False
290,2022-05-07T05:28:04.432610+00:00,REG,14,False
291,2022-05-07T07:39:22.932819+00:00,REG,43,False
292,2023-11-14T20:29:54.375264+00:00,FILE,3,False
293,2022-09-25T02:32:55.776920+00:00,FILE,11,False
294,2023-11-14T20:13:28.924479+00:00,FILE,11,False
295,2023-11-15T18:50:45.167871+00:00,FILE,20,False
296,2023-11-14T20:05:18.190551+00:00,FILE,11,False
297,2022-05-07T05:28:04.963881+00:00,REG,85,False
298,2023-11-15T18:57:14.612392+00:00,FILE,53,False
299,2023-11-15T18:50:44.964602+00:00,FILE,44,False
300,2023-11-15T18:56:51.823280+00:00,FILE,97,False
301,2022-05-27T16:07:54.000000+00:00,PE,26,False
302,2023-11-16T01:37:16.967786+00:00,FILE,11,False
303,2023-11-15T18:28:55.434628+00:00,REG,2,False
304,2023-11-14T20:27:56.731046+00:00,FILE,3,False
305,2023-11-15T17:58:21.320071+00:00,REG,29,False
306,2023-11-15T18:39:37.103219+00:00,FILE,33,False
307,2022-05-07T05:28:03.948178+00:00,REG,14,False
308,2023-12-26T00:35:05.145788+00:00,FILE,9,False
309,2022-05-07T07:35:13.211466+00:00,REG,17,False
310,2019-03-12T22:23:14.000000+00:00,FILE,1,False
311,2023-11-15T18:47:50.264805+00:00,FILE,13,False
312,2023-11-16T01:39:48.196567+00:00,FILE,3,False
313,2023-11-14T20:13:59.564223+00:00,FILE,11,False
314,2023-11-16T01:35:02.843716+00:00,FILE,11,False
315,2023-11-15T18:48:03.232796+00:00,FILE,8,False
316,2023-12-26T15:08:45.885582+00:00,REG,46,False
317,2023-11-14T20:09:00.844928+00:00,FILE,11,False
318,2023-11-15T18:56:38.788026+00:00,FILE,84,False
319,2022-05-07T05:27:59.213531+00:00,REG,43,False
320,2023-11-15T18:56:10.856731+00:00,FILE,1,False
321,2022-05-07T05:28:05.713956+00:00,REG,43,False
322,2023-11-15T18:52:40.705820+00:00,FILE,74,False
323,2023-11-15T18:45:43.984637+00:00,FILE,51,False
324,2023-12-26T00:33:52.713021+00:00,EVT,62,False
325,2023-11-15T18:51:45.835638+00:00,FILE,18,False
326,2023-11-16T01:34:56.460435+00:00,FILE,11,False
327,2023-11-16T01:41:57.195801+00:00,REG,42,False
328,2023-09-19T07:26:30.000000+00:00,FILE,9,False
329,2022-05-07T07:30:29.532637+00:00,REG,2,False
330,2022-05-07T05:20:48.968109+00:00,FILE,11,False
331,2022-05-07T05:19:47.617989+00:00,FILE,11,False
332,2023-11-14T20:09:03.282921+00:00,FILE,11,False
333,2016-06-12T07:14:02.000000+00:00,FILE,1,False
334,2023-12-26T00:14:52.251920+00:00,REG,95,False
335,2015-07-23T06:10:52.000000+00:00,FILE,1,False
336,2016-06-12T07:14:22.000000+00:00,FILE,1,False
337,2023-11-15T18:51:24.731332+00:00,FILE,0,False
338,2022-05-07T05:24:50.685859+00:00,FILE,3,False
339,2023-11-15T18:42:49.653235+00:00,FILE,80,False
340,2023-11-16T01:39:28.550672+00:00,FILE,11,False
341,2023-11-15T18:50:43.984070+00:00,FILE,72,False
342,2023-11-15T18:51:04.718494+00:00,FILE,0,False
343,2023-11-15T19:00:26.758640+00:00,FILE,74,False
344,2023-11-16T01:38:35.655214+00:00,FILE,11,False
345,2023-11-15T18:56:18.732794+00:00,FILE,97,False
346,2022-05-07T05:24:50.576461+00:00,FILE,3,False
347,2023-11-16T01:37:33.653561+00:00,FILE,11,False
348,2023-11-15T18:55:49.342259+00:00,REG,35,False
349,2023-11-15T18:43:39.978081+00:00,FILE,9,False
350,2023-11-15T18:44:21.796178+00:00,FILE,9,False
351,2023-11-14T20:13:23.538599+00:00,REG,25,False
352,2023-11-15T17:49:39.661623+00:00,EVT,62,False
353,2023-11-15T18:56:30.983979+00:00,FILE,44,False
