representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all
word2vec,dbscan,42,"{""eps"": 1.854439, ""metric"": ""euclidean"", ""min_samples"": 5}",6.787,,682,7593,0.15186,0.9130724668502808,10603.726097117396,0.3679274318040281,,,,0.68630051612854,134.11885804783395,1.2717729687601786
word2vec,dbscan,42,"{""eps"": 2.987025, ""metric"": ""euclidean"", ""min_samples"": 10}",12.386,,280,7171,0.14342,0.7762795686721802,2358.6407837434767,0.6226904416030028,,,,0.5907859206199646,270.04759923733565,1.3320380548629205
word2vec,dbscan,42,"{""eps"": 3.871291, ""metric"": ""euclidean"", ""min_samples"": 5}",11.465,,374,3347,0.06694,0.3736796379089355,331.6533833231042,0.6681736029335266,,,,0.3178189992904663,186.20476030472943,1.284809992018625
word2vec,dbscan,42,"{""eps"": 4.811705, ""metric"": ""euclidean"", ""min_samples"": 10}",41.778,,149,3164,0.06328,0.2606460750102997,364.0030669268518,0.6137586823993265,,,,0.217223510146141,243.90331474845104,1.308596138310469
word2vec,dbscan,42,"{""eps"": 5.561356, ""metric"": ""euclidean"", ""min_samples"": 5}",38.098,,219,1622,0.03244,0.3022514283657074,227.8929908412224,0.5900241136280938,,,,0.2897205352783203,184.275772925579,1.274702745934268
word2vec,dbscan,42,"{""eps"": 6.782176, ""metric"": ""euclidean"", ""min_samples"": 10}",112.568,,84,1514,0.03028,0.3181404769420624,313.48338046363506,0.5939181668603113,,,,0.2886617481708526,262.31934392055325,1.3510885076660577
word2vec,hdbscan,42,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",50.852,,409,8000,0.16,0.9078601598739624,3035.515267306509,1.2793559404701371,,,,0.6785765886306763,202.1562244680053,1.89349911299184
word2vec,hdbscan,42,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 30, ""min_samples"": null}",54.202,,206,9747,0.19494,0.9058692455291748,3880.7830347116624,1.84258535677516,,,,0.6352666616439819,288.1541300576812,2.3992116407812007
word2vec,hdbscan,42,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",60.418,,131,11693,0.23386,0.9169794917106628,4811.694293005985,2.42482772232499,,,,0.6009461879730225,330.9227384389572,2.9878766398979475
word2vec,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 0.0001}",0.759,,10,0,0.0,0.270679622888565,922.974207850428,3.5442643276196875,-2515115.540934439,-2524014.6972234086,,,,
word2vec,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 0.001}",0.748,,10,0,0.0,0.2533422708511352,913.387710123374,3.599362227325135,793426.7113129086,784527.5550239385,,,,
word2vec,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 1e-05}",0.699,,10,0,0.0,0.2705296277999878,922.1072220912988,3.544142970931748,-4367411.93465009,-4376311.09093906,,,,
word2vec,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 1e-06}",0.711,,10,0,0.0,0.2705296277999878,922.1072220912988,3.544142970931748,-6204541.882636467,-6213441.038925437,,,,
word2vec,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 0.0001}",6.531,,100,0,0.0,0.6430749893188477,958.9544373543029,2.298495720210162,-8257530.16355267,-8346601.104446929,,,,
word2vec,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 0.001}",9.619,,100,0,0.0,0.645301878452301,970.7273613950546,2.328404274915682,-5098619.297250092,-5187690.238144351,,,,
word2vec,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-05}",6.26,,100,0,0.0,0.6429340839385986,952.8270926524764,2.287715720096452,-11231612.121038511,-11320683.06193277,,,,
word2vec,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",6.522,,100,0,0.0,0.6426795721054077,949.631209787783,2.282203879713073,-14768821.380294155,-14857892.321188414,,,,
word2vec,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 15, ""reg_covar"": 0.0001}",1.148,,15,0,0.0,0.3414422273635864,1018.1767039494372,3.1589834499492384,-3449065.466504848,-3462418.610827445,,,,
word2vec,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 15, ""reg_covar"": 0.001}",1.156,,15,0,0.0,0.3414856493473053,1018.374328066308,3.1610434199003383,-1459271.5105210375,-1472624.654843635,,,,
