representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,silhouette_all,calinski_harabasz_all,davies_bouldin_all,inertia,bic,aic,stage_dir,parameter_value,parameter_type,parameter_note
word2vec,hdbscan,101,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",62.365,,131,11703,0.23406,0.9125378131866456,5166.353590788577,2.4763866352993835,0.6033008694648743,323.7840792793683,3.014903885988822,,,,primary_k_sensitivity_seed101,min_cluster_size=50,density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 0.0001}",0.927,,10,0,0.0,0.2568269670009613,871.8679372787055,3.2280792188765006,,,,,-362923.023223724,-371822.179512694,primary_k_sensitivity_seed101,10,n_components,Explicit k/n_components sensitivity value.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 0.001}",0.956,,10,0,0.0,0.2568791508674621,873.0649442814802,3.22798416888468,,,,,449044.2667272848,440145.1104383149,primary_k_sensitivity_seed101,10,n_components,Explicit k/n_components sensitivity value.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 1e-05}",0.807,,10,0,0.0,0.2592024505138397,866.9562736599028,3.260791800222936,,,,,-1034229.5166282062,-1043128.6729171764,primary_k_sensitivity_seed101,10,n_components,Explicit k/n_components sensitivity value.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 10, ""reg_covar"": 1e-06}",0.833,,10,0,0.0,0.2592024505138397,866.9562736599028,3.260791800222936,,,,,-1611418.936014456,-1620318.092303426,primary_k_sensitivity_seed101,10,n_components,Explicit k/n_components sensitivity value.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 0.0001}",1.923,,20,0,0.0,0.4221230447292328,935.4516791587472,3.0300630251810925,,,,,-4427645.811662067,-4445452.944018291,primary_k_sensitivity_seed101,20,n_components,Explicit k/n_components sensitivity value.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 0.001}",1.902,,20,0,0.0,0.4228486716747284,947.076506844562,3.028229044983401,,,,,-2344006.0141629064,-2361813.146519131,primary_k_sensitivity_seed101,20,n_components,Explicit k/n_components sensitivity value.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 1e-05}",1.846,,20,0,0.0,0.422122061252594,935.3978938961772,3.030287238675545,,,,,-6356046.467682595,-6373853.60003882,primary_k_sensitivity_seed101,20,n_components,Explicit k/n_components sensitivity value.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 20, ""reg_covar"": 1e-06}",1.95,,20,0,0.0,0.422122061252594,935.3978938961772,3.030287238675545,,,,,-8232557.390634996,-8250364.52299122,primary_k_sensitivity_seed101,20,n_components,Explicit k/n_components sensitivity value.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 0.0001}",6.236,,50,0,0.0,0.5373297929763794,1023.1266086934788,2.811231092144244,,,,,-5782457.833803572,-5826988.894361559,primary_k_sensitivity_seed101,50,n_components,Explicit k/n_components sensitivity value.
