representation,sample_size,seed,embedding_time_s,peak_memory_mb,device,embedding_cache_key,embedding_cache_path,embedding_cache_hit,embedding_load_time_s,embedding_dimensions,requested_pca_components,pca_applied,effective_dimensions,pca_explained_variance_ratio,clustering_method,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all,tfidf_features,tfidf_max_features,tfidf_min_df,tfidf_max_df,tfidf_svd_applied,tfidf_svd_components,dataset,experiment
word2vec,50000,789,10.815,103.384,cpu,word2vec_8a7c6936009c00d7,reports\week4_pilot\primary_optimal_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,100,50,True,50,0.9959251284599304,gmm,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",7.797,,100,0,0.0,0.6317650675773621,953.2601025792958,2.2597150961349386,-14689148.346220778,-14778219.287115036,,,,,,,,,,,scenario-1,optimal
doc2vec,50000,42,0.097,38.198,cpu,doc2vec_d22244dd639d469e,reports\week2\cache\doc2vec_d22244dd639d469e.npz,True,0.096,100,50,True,50,0.984565258026123,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 75}",81.638,,75,0,0.0,0.0017301815096288,303.24229011457226,2.3776368447002487,,,,,,,,,,,,,scenario-1,optimal
doc2vec,50000,101,0.113,38.16,cpu,doc2vec_44ec3b15280e95e5,reports\week4_pilot\primary_optimal_seed101\cache\doc2vec_44ec3b15280e95e5.npz,True,0.112,100,50,True,50,0.9842668771743774,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 2}",84.393,,2,0,0.0,0.8537863492965698,612.7516536501955,1.702047305498088,,,,,,,,,,,,,scenario-1,optimal
doc2vec,50000,123,61.048,101.514,cpu,doc2vec_38c655e3255f5cd6,reports\week4_pilot\primary_optimal_seed123\cache\doc2vec_38c655e3255f5cd6.npz,False,,100,50,True,50,0.9841358661651612,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 75}",87.933,,75,0,0.0,0.0009990653488785,299.75700047609394,2.5107823354155467,,,,,,,,,,,,,scenario-1,optimal
doc2vec,50000,456,61.778,101.515,cpu,doc2vec_f11108f8941aa57f,reports\week4_pilot\primary_optimal_seed456\cache\doc2vec_f11108f8941aa57f.npz,False,,100,50,True,50,0.9838088154792786,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 75}",85.818,,75,0,0.0,0.0016985608963295,294.75173149059134,2.474770223133465,,,,,,,,,,,,,scenario-1,optimal
doc2vec,50000,789,62.969,101.783,cpu,doc2vec_878507aae6ccc36c,reports\week4_pilot\primary_optimal_seed789\cache\doc2vec_878507aae6ccc36c.npz,False,,100,50,True,50,0.9841041564941406,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 2}",83.633,,2,0,0.0,0.8392994999885559,641.6845216305136,0.8303847871627595,,,,,,,,,,,,,scenario-1,optimal
doc2vec,50000,42,63.169,108.857,cpu,doc2vec_d22244dd639d469e,reports\week2\cache\doc2vec_d22244dd639d469e.npz,False,,100,50,True,50,0.984565258026123,kmeans,"{""n_clusters"": 2}",0.383,,2,0,0.0,0.1149683073163032,708.9502811518995,6.945008406631476,,,2465048.25,,,,,,,,,,scenario-1,optimal
doc2vec,50000,101,0.113,38.16,cpu,doc2vec_44ec3b15280e95e5,reports\week4_pilot\primary_optimal_seed101\cache\doc2vec_44ec3b15280e95e5.npz,True,0.112,100,50,True,50,0.9842668771743774,kmeans,"{""n_clusters"": 2}",0.657,,2,0,0.0,0.1204730942845344,709.4641213746735,6.949089582326985,,,2465023.5,,,,,,,,,,scenario-1,optimal
doc2vec,50000,123,61.048,101.514,cpu,doc2vec_38c655e3255f5cd6,reports\week4_pilot\primary_optimal_seed123\cache\doc2vec_38c655e3255f5cd6.npz,False,,100,50,True,50,0.9841358661651612,kmeans,"{""n_clusters"": 2}",0.611,,2,0,0.0,0.1617805808782577,711.4106400586329,5.509483633294593,,,2464927.25,,,,,,,,,,scenario-1,optimal
doc2vec,50000,456,61.778,101.515,cpu,doc2vec_f11108f8941aa57f,reports\week4_pilot\primary_optimal_seed456\cache\doc2vec_f11108f8941aa57f.npz,False,,100,50,True,50,0.9838088154792786,kmeans,"{""n_clusters"": 2}",0.678,,2,0,0.0,0.1531975269317627,716.3919647767964,5.509356690123309,,,2464685.25,,,,,,,,,,scenario-1,optimal
doc2vec,50000,789,62.969,101.783,cpu,doc2vec_878507aae6ccc36c,reports\week4_pilot\primary_optimal_seed789\cache\doc2vec_878507aae6ccc36c.npz,False,,100,50,True,50,0.9841041564941406,kmeans,"{""n_clusters"": 3}",0.851,,3,0,0.0,0.0219512451440095,676.5102691546716,5.927015305332238,,,2434128.5,,,,,,,,,,scenario-1,optimal
