representation,sample_size,seed,embedding_time_s,peak_memory_mb,device,embedding_cache_key,embedding_cache_path,embedding_cache_hit,tfidf_features,tfidf_max_features,tfidf_min_df,tfidf_max_df,tfidf_svd_applied,tfidf_svd_components,embedding_dimensions,requested_pca_components,pca_applied,effective_dimensions,clustering_method,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,silhouette_all,calinski_harabasz_all,davies_bouldin_all,inertia,bic,aic,pca_explained_variance_ratio,dataset,experiment
word2vec,50000,456,18.805,97.142,cpu,word2vec_286867f4fc67e1ed,reports\week4\primary_k_sensitivity_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,,,,,,100,50,True,50,kmeans,"{""n_clusters"": 50}",13.276,,50,0,0.0,0.5369423627853394,1393.978289084295,1.5089124498007769,,,,1055974.5,,,0.9962106347084044,scenario-1,k-sensitivity
word2vec,50000,789,18.341,97.412,cpu,word2vec_8a7c6936009c00d7,reports\week4\primary_k_sensitivity_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,,,,,,100,50,True,50,kmeans,"{""n_clusters"": 50}",16.843,,50,0,0.0,0.5240506529808044,1368.569142942513,1.5748168590678802,,,,1067213.75,,,0.9959251284599304,scenario-1,k-sensitivity
word2vec,50000,42,10.929,104.488,cpu,word2vec_da1df13ea1ae6270,reports\week4_pilot\primary_k_sensitivity_seed42\cache\word2vec_da1df13ea1ae6270.npz,False,,,,,,,100,50,True,50,dbscan,"{""eps"": 1.854439, ""metric"": ""euclidean"", ""min_samples"": 5}",7.747,,682,7593,0.15186,0.9130724668502808,10603.726097117396,0.3679274318040281,0.68630051612854,134.11885804783395,1.2717729687601786,,,,0.9960249066352844,scenario-1,k-sensitivity
word2vec,50000,101,10.611,97.082,cpu,word2vec_00dd3b9a0f02577b,reports\week4\primary_k_sensitivity_seed101\cache\word2vec_00dd3b9a0f02577b.npz,False,,,,,,,100,50,True,50,dbscan,"{""eps"": 2.351011, ""metric"": ""euclidean"", ""min_samples"": 5}",13.328,,664,6813,0.13626,0.8870691657066345,5110.839390527443,0.4702303655614179,0.6906890273094177,146.02343355337246,1.3073815798015416,,,,0.9960289001464844,scenario-1,k-sensitivity
word2vec,50000,123,11.831,104.68,cpu,word2vec_589eceec29fc785c,reports\week4\primary_k_sensitivity_seed123\cache\word2vec_589eceec29fc785c.npz,False,,,,,,,100,50,True,50,dbscan,"{""eps"": 2.150507, ""metric"": ""euclidean"", ""min_samples"": 5}",9.186,,683,6853,0.13706,0.8889853358268738,6033.604577760285,0.4467425911683514,0.6831737160682678,146.6025863123927,1.293758683522794,,,,0.995886504650116,scenario-1,k-sensitivity
word2vec,50000,456,18.805,97.142,cpu,word2vec_286867f4fc67e1ed,reports\week4\primary_k_sensitivity_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,,,,,,100,50,True,50,dbscan,"{""eps"": 3.086135, ""metric"": ""euclidean"", ""min_samples"": 5}",18.843,,509,4647,0.09294,0.7240109443664551,1020.7327770231648,0.6768537203539262,0.612053394317627,215.6256043440851,1.3189125964753814,,,,0.9962106347084044,scenario-1,k-sensitivity
word2vec,50000,789,18.341,97.412,cpu,word2vec_8a7c6936009c00d7,reports\week4\primary_k_sensitivity_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,,,,,,100,50,True,50,dbscan,"{""eps"": 1.942936, ""metric"": ""euclidean"", ""min_samples"": 5}",15.891,,641,7757,0.15514,0.9110289812088012,9420.913036612656,0.3816441521368851,0.6842698454856873,137.6943186898951,1.2781469849745666,,,,0.9959251284599304,scenario-1,k-sensitivity
word2vec,50000,42,10.929,104.488,cpu,word2vec_da1df13ea1ae6270,reports\week4_pilot\primary_k_sensitivity_seed42\cache\word2vec_da1df13ea1ae6270.npz,False,,,,,,,100,50,True,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",62.521,,131,11693,0.23386,0.9169794917106628,4811.694293005985,2.42482772232499,0.6009461879730225,330.9227384389572,2.9878766398979475,,,,0.9960249066352844,scenario-1,k-sensitivity
word2vec,50000,101,10.611,97.082,cpu,word2vec_00dd3b9a0f02577b,reports\week4\primary_k_sensitivity_seed101\cache\word2vec_00dd3b9a0f02577b.npz,False,,,,,,,100,50,True,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",62.365,,131,11703,0.23406,0.9125378131866456,5166.353590788577,2.4763866352993835,0.6033008694648743,323.7840792793683,3.014903885988822,,,,0.9960289001464844,scenario-1,k-sensitivity
word2vec,50000,123,11.831,104.68,cpu,word2vec_589eceec29fc785c,reports\week4\primary_k_sensitivity_seed123\cache\word2vec_589eceec29fc785c.npz,False,,,,,,,100,50,True,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",83.406,,129,11600,0.232,0.9094730615615844,4813.926568472389,2.4640478270735584,0.5904406905174255,322.5603891206989,3.064817103936452,,,,0.995886504650116,scenario-1,k-sensitivity
word2vec,50000,456,18.805,97.142,cpu,word2vec_286867f4fc67e1ed,reports\week4\primary_k_sensitivity_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,,,,,,100,50,True,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",112.209,,126,12015,0.2403,0.9203651547431946,5200.500892058339,3.4654861237238044,0.5923402905464172,313.17560051422254,3.9604756245404342,,,,0.9962106347084044,scenario-1,k-sensitivity
word2vec,50000,789,18.341,97.412,cpu,word2vec_8a7c6936009c00d7,reports\week4\primary_k_sensitivity_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,,,,,,100,50,True,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",118.976,,128,11936,0.23872,0.9184384942054749,5894.079193303282,2.664682309884724,0.5964797735214233,310.9897788265225,3.207631519981996,,,,0.9959251284599304,scenario-1,k-sensitivity
word2vec,50000,42,10.929,104.488,cpu,word2vec_da1df13ea1ae6270,reports\week4_pilot\primary_k_sensitivity_seed42\cache\word2vec_da1df13ea1ae6270.npz,False,,,,,,,100,50,True,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",5.0,,50,0,0.0,0.5426871180534363,1068.5482184367704,2.277077455942558,,,,,-10826929.745459322,-10871460.80601731,0.9960249066352844,scenario-1,k-sensitivity
word2vec,50000,101,10.611,97.082,cpu,word2vec_00dd3b9a0f02577b,reports\week4\primary_k_sensitivity_seed101\cache\word2vec_00dd3b9a0f02577b.npz,False,,,,,,,100,50,True,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",4.5,,50,0,0.0,0.5373843908309937,1017.6612229682712,2.854766239078645,,,,,-9948695.938308338,-9993226.998866323,0.9960289001464844,scenario-1,k-sensitivity
word2vec,50000,123,11.831,104.68,cpu,word2vec_589eceec29fc785c,reports\week4\primary_k_sensitivity_seed123\cache\word2vec_589eceec29fc785c.npz,False,,,,,,,100,50,True,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",12.413,,50,0,0.0,0.5258474946022034,1029.8912057785565,2.528854370051274,,,,,-10279866.146702545,-10324397.20726053,0.995886504650116,scenario-1,k-sensitivity
word2vec,50000,456,18.805,97.142,cpu,word2vec_286867f4fc67e1ed,reports\week4\primary_k_sensitivity_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,,,,,,100,50,True,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",7.665,,50,0,0.0,0.5350252985954285,1051.846449929511,2.35129281211601,,,,,-10953176.71802918,-10997707.778587166,0.9962106347084044,scenario-1,k-sensitivity
word2vec,50000,789,18.341,97.412,cpu,word2vec_8a7c6936009c00d7,reports\week4\primary_k_sensitivity_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,,,,,,100,50,True,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",9.766,,50,0,0.0,0.542625367641449,1038.903358324866,2.5070404324310034,,,,,-11023283.975725278,-11067815.036283266,0.9959251284599304,scenario-1,k-sensitivity
