representation,clustering_method,parameter_type,parameter_value_numeric,trial_count,seed_count,silhouette_mean,silhouette_std,inertia_mean,bic_mean
word2vec,agglomerative,k,75,5,5,0.5783421754837036,0.006033491653689126,,
word2vec,agglomerative,k,100,5,5,0.6371070981025696,0.00611761154247814,,
word2vec,gmm,n_components,2,20,5,0.02147173982812092,0.10413286251798451,,5602878.472348937
word2vec,gmm,n_components,3,20,5,0.08571970686316485,0.04076775246069023,,3982016.316356305
word2vec,gmm,n_components,4,20,5,0.10946334078907963,0.02286306374030491,,3057634.005371544
word2vec,gmm,n_components,5,20,5,0.1304675374180078,0.014339034756902968,,2762488.175898145
word2vec,gmm,n_components,8,20,5,0.214146526902914,0.025082030847040276,,-63253.67577369502
word2vec,gmm,n_components,10,20,5,0.2655470915138721,0.03073033500774671,,-1733083.7920001666
word2vec,gmm,n_components,15,20,5,0.34049820601940156,0.033698617627417264,,-3414798.054604031
word2vec,gmm,n_components,20,20,5,0.3872101217508316,0.040543284442731926,,-4587684.445266984
word2vec,gmm,n_components,30,20,5,0.48289889842271805,0.009998553482824213,,-6398429.676880577
word2vec,gmm,n_components,40,20,5,0.5175637066364288,0.008159626369681478,,-6945683.376880467
word2vec,gmm,n_components,50,20,5,0.5382976472377777,0.006771888796745658,,-7087046.37582586
word2vec,gmm,n_components,75,20,5,0.6002613216638565,0.017051505240939662,,-8613920.700931717
word2vec,gmm,n_components,100,20,5,0.6330995440483094,0.008452415388363704,,-9713013.83295481
word2vec,kmeans,k,2,5,5,0.012682348862290402,0.07315903532993474,2451652.9,
word2vec,kmeans,k,3,5,5,0.05515106208622452,0.09214048902696872,2407084.4,
word2vec,kmeans,k,4,5,5,0.009164634253829738,0.0670084993420793,2367972.0,
word2vec,kmeans,k,5,5,5,0.016662985458970082,0.07517100402520337,2325349.15,
word2vec,kmeans,k,8,5,5,0.03893039664253592,0.056743300488506884,2204093.85,
word2vec,kmeans,k,10,5,5,0.07750758081674572,0.009631065349529275,2125258.3,
word2vec,kmeans,k,15,5,5,0.16738747656345368,0.02794236492895182,1939758.525,
word2vec,kmeans,k,20,5,5,0.2237278193235397,0.03639645125619183,1771759.475,
word2vec,kmeans,k,30,5,5,0.38855165243148804,0.022811267300097363,1466403.85,
word2vec,kmeans,k,40,5,5,0.4821682095527649,0.008632124325510533,1228804.225,
word2vec,kmeans,k,50,5,5,0.5224774599075317,0.01683039841300675,1058456.175,
word2vec,kmeans,k,75,5,5,0.5874714016914367,0.004613227260686132,831296.725,
word2vec,kmeans,k,100,5,5,0.6283124685287476,0.008119337991995206,697190.1,
