representation,clustering_method,cluster_id,size,top_terms,output_path,status
tfidf,hdbscan,82,21,source_reg; path_token; applypasses; reg_dword_le; num_token; cellular; universalappinstall; certificates; sharedpc; storaged; inmodernstandby; folders; graphicsdrivers; provisioningcommands; personalization; languagepackmanagement; windowshelloforbusiness; deviceupdatecenter; education; devicemanagement,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_82.png,ok
tfidf,hdbscan,83,15,source_reg; path_token; applypasses; reg_dword_le; num_token; connections; cellcore,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_83.png,ok
tfidf,hdbscan,84,25,reg_sz; num_token; source_reg; hkey_local_machine; path_token; hex_token; version; displayname; universal; crt; extension; sdk,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_84.png,ok
tfidf,hdbscan,85,24,num_token; update; source_file; log; parent; source; reason; usn_reason_file_delete; usn_reason_close; dd_setup_; _microsoft; visualstudio; vc; activationstore; dat; _win; sdk_; winsdksetup_; _en_us; hostx,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_85.png,ok
tfidf,hdbscan,86,20,num_token; update; source_file; xml; parent; source; reason; usn_reason_file_delete; usn_reason_close; cab; es; compdb; fi; desktoptargetcompdb_core_es; desktoptargetcompdb_professionaln_es; desktoptargetcompdb_professional_fi; desktopbaselesscompdb_bg; bg; desktoptargetcompdb_core_ar; sa,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_86.png,ok
tfidf,hdbscan,87,54,num_token; update; source_file; lib; parent; source; reason; usn_reason_data_extend; usn_reason_file_create; libconcrt; fileextd; clang_rt; imagehlp; slcext; faultrep; pgocr; strsafe; msvcrt; samlib; libcpmtd,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_87.png,ok
tfidf,hdbscan,88,36,reg_sz; path_token; source_reg; hkey_local_machine; dllpath; synctype; boolean; backuponly; action; collectionid; capabilityaccess; displaystring; list; inputsettings; settingcollection; labeledstring; database; reg_dword_le; num_token; external,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_88.png,ok
tfidf,hdbscan,89,30,num_token; update; source_file; hex_token; parent; source; reason; usn_reason_file_delete; usn_reason_close; usn_reason_rename_new_name; usn_reason_basic_info_change,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_89.png,ok
tfidf,hdbscan,90,27,num_token; update; source_file; parent; source; reason; usn_reason_file_create; usn_reason_file_delete; usn_reason_close; dat; ngentasknewworklock; ngenrootstorelock; ngenserviceclientlock; etwrtwinnetesp; etl,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_90.png,ok
tfidf,hdbscan,91,15,num_token; update; source_file; state; json; parent; source; reason; usn_reason_file_delete; usn_reason_close; packages,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_91.png,ok
tfidf,hdbscan,92,17,num_token; reg_sz; source_reg; hkey_local_machine; path_token; assembly; version; culture; neutral; publickeytoken; hex_token; class; runtimeversion; mscorlib; mshtml; envdte; diagnostics; symbolstore; visualstudio; commandbars,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_92.png,ok
tfidf,hdbscan,93,29,path_token; source_file; iis; express,reports\week4\plots\wordclouds_full\tfidf_hdbscan_cluster_93.png,ok
